WBS番号,フェーズ,タスク,定義,依存,アウトプット,担当,自動化レベル,開始日,期限,日数,進捗
0.4.4,P0 事業設計・検証,霊感商法規制の法務レビュー,消費者契約法2023年改正・不当寄附勧誘防止法。弁護士確認,0.4.1,法務意見書,人間（弁護士）,C,2026/10/01,2026/10/20,20,0%
0.4.5,P0 事業設計・検証,神社写真の利用許諾フロー確立,撮影・掲載の許諾取得手順と記録様式,-,許諾フロー＋様式,人間,C,2026/09/28,2026/10/05,8,0%
0.4.6,P0 事業設計・検証,課金・返金・クーリングオフ設計,3年/10年の取消権を踏まえた返金規定,0.4.4,返金規定,A30＋人間,B,2026/10/20,2026/11/06,18,0%
0.5,P0 事業設計・検証,現行チャネルでの初期売上（既存シート継承）,,-,,,,2026/09/14,2026/11/30,78,0%
0.5.1,P0 事業設計・検証,月商150万円の達成,既存シートのKPIをP0のゲート条件として継承,-,売上実績,人間,C,2026/09/14,2026/11/30,78,0%
0.5.2,P0 事業設計・検証,対面鑑定の稼働上限の実測,1人あたり月何件が上限か。プラットフォーム化の必要性の根拠,0.5.1(SS),稼働実測データ,人間,C,2026/09/14,2026/10/31,48,0%
0.5.3,P0 事業設計・検証,顧客の実際の質問の蓄積,コンテンツ・プロダクト双方の最重要インプット,-,質問ログ,人間,C,2026/09/14,2026/11/30,78,0%
0.5.4,P0 事業設計・検証,ココナラ手数料22%の代替導線検討,自社決済へ寄せた場合の限界利益差を試算,0.5.1(SS),導線比較表,Claude＋人間,B,2026/10/01,2026/10/15,15,0%
0.6,P0 事業設計・検証,AIエージェント基盤の完成,,-,,,,2026/09/14,2026/11/20,68,0%
0.6.1,P0 事業設計・検証,A01 Strategy Agent 仕様,10億目標の分解と意思決定記録を担う。現在不在,-,agents/strategy/,Codex,D,2026/09/14,2026/09/21,8,0%
0.6.2,P0 事業設計・検証,A07 Content Strategy Agent 仕様,A10-X が依存しているが未実装,0.6.1,agents/content-strategy/,Codex,D,2026/09/21,2026/09/28,8,0%
0.6.3,P0 事業設計・検証,A08 Content Production Agent 仕様,記事本文の制作,0.6.2,agents/content/,Codex,D,2026/09/28,2026/10/05,8,0%
0.6.4,P0 事業設計・検証,A28 QA Agent 仕様,A10-X の出力先。現在不在のため事実確認が滞留する,0.4.3,agents/qa/,Codex,D,2026/10/05,2026/10/12,8,0%
0.6.5,P0 事業設計・検証,A29 Fact-Check Agent 仕様,歴史・文化クレームの検証。A10-X の律速,0.6.4,agents/fact-check/,Codex,D,2026/10/12,2026/10/19,8,0%
0.6.6,P0 事業設計・検証,A30 Compliance Agent 仕様,禁止表現の機械検出,0.4.3,agents/compliance/,Codex,D,2026/10/19,2026/10/26,8,0%
0.6.7,P0 事業設計・検証,A18 Analytics Agent 仕様,GSC/GA4/X の取得とKPIレポート,-,agents/analytics/,Codex,D,2026/10/26,2026/11/02,8,0%
0.6.8,P0 事業設計・検証,A09 SNS Strategy Agent 仕様,チャネル投資配分。A10-X の親,0.6.2,agents/sns/strategy/,Codex,D,2026/11/02,2026/11/09,8,0%
0.6.9,P0 事業設計・検証,A10 チャネルサブエージェント（IG/TH/AB/TT）,X以外の4チャネル。A10-X の構造を踏襲,0.6.8,agents/sns/*/,Codex,D,2026/11/09,2026/11/20,12,0%
0.7,P0 事業設計・検証,コンテンツ素材の先行取得（季節逆算）,,-,,,,2026/09/14,2026/11/15,63,0%
0.7.1,P0 事業設計・検証,2027年 年次予測の占術判断,10月下旬公開に間に合わせる。本人にしか作れない,-,判断＋根拠,人間,C,2026/09/14,2026/09/25,12,0%
0.7.2,P0 事業設計・検証,神社訪問 第1弾（3〜5社）,Tier X-A コンテンツの唯一の供給源。現在ゼロ,-,訪問記録＋写真,人間,C,2026/09/21,2026/09/30,10,0%
0.7.3,P0 事業設計・検証,訪問記録スキーマとリポジトリ登録,visit_record_id の実体を定義。A10-X が参照する,0.7.2,visit_record.schema.json,Codex,D,2026/09/30,2026/10/07,8,0%
0.7.4,P0 事業設計・検証,神社訪問 第2弾（初詣向け）,11月上旬公開のため10月中に完了が必須,0.7.3,訪問記録＋写真,人間,C,2026/10/12,2026/10/23,12,0%
0.7.5,P0 事業設計・検証,初詣コンテンツの制作・公開,年間最大需要。11月上旬公開を外すと1年失う,0.7.4,公開記事＋SNS,A08＋人間,B,2026/10/26,2026/11/15,21,0%
0.8,P0 事業設計・検証,資金調達の意思決定,,0.2.6,,,,2026/10/12,2026/11/30,50,0%
0.8.1,P0 事業設計・検証,必要資金の算出,MVP開発・広告・人件費の24ヶ月分,0.2.6,資金計画,人間,C,2026/10/12,2026/10/23,12,0%
0.8.2,P0 事業設計・検証,調達 or 自己資金の決定,自己資金なら10億目標の期間を伸ばす判断とセット,0.8.1,決定記録,人間,C,2026/10/26,2026/11/06,12,0%
0.8.3,P0 事業設計・検証,法人設立・資本政策の整備,調達する場合。未設立なら必須,0.8.2,登記・株主名簿,人間,C,2026/11/09,2026/11/30,22,0%
0.G,P0 事業設計・検証,★ゲート G1：P0完了判定,月商150万円達成／事業モデル決定／法務基盤完成。未達なら目標の再設定,"0.5.1,0.2.6,0.4.4",ゲート判定記録,人間,C,2026/11/30,2026/11/30,1,0%
1,P1 MVP構築,プロダクトMVPの構築と初回課金,課金が発生し、継続率を測れる最小のプロダクトを出す,0.G,MVPリリース,-,-,2026/12/01,2027/02/28,90,0%
1.1,P1 MVP構築,プロダクト要件定義,,0.G,,,,2026/12/01,2026/12/25,25,0%
1.1.1,P1 MVP構築,ペルソナ・提供価値の確定,0.5.3 の顧客質問ログを一次ソースにする,0.5.3,ペルソナ定義,Claude＋人間,B,2026/12/01,2026/12/08,8,0%
1.1.2,P1 MVP構築,MVP機能の確定（今日の運勢／AIチャット相談／課金）,正式版機能は意図的に落とす,1.1.1,MVP機能要件定義書,Claude＋人間,B,2026/12/08,2026/12/15,8,0%
1.1.3,P1 MVP構築,占術要件定義,四柱推命・九星気学のロジック。本人の手法をどう写すか,1.1.2(SS),占術要件定義書,人間,C,2026/12/08,2026/12/20,13,0%
1.1.4,P1 MVP構築,非機能要件（性能・可用性・個人情報）,生年月日等の要配慮情報に近い扱い,1.1.2,非機能要件定義書,Claude＋人間,B,2026/12/15,2026/12/22,8,0%
1.1.5,P1 MVP構築,課金モデルの確定（ARPU・プラン構成）,0.2.3 の感応度分析を踏まえた最終決定,"0.2.3,0.3.3",料金表,人間,C,2026/12/18,2026/12/25,8,0%
1.2,P1 MVP構築,設計,,1.1.2,,,,2026/12/22,2027/01/20,30,0%
1.2.1,P1 MVP構築,情報アーキテクチャ・画面遷移設計,,1.1.2,IA設計図・画面遷移図,Claude,B,2026/12/22,2027/01/05,15,0%
1.2.2,P1 MVP構築,ワイヤーフレーム作成,,1.2.1,MVPワイヤーフレーム,Claude＋人間,B,2027/01/05,2027/01/12,8,0%
1.2.3,P1 MVP構築,UIデザイン,占術師のブランドと接続する世界観,1.2.2,UIデザイン,人間（デザイナー）,C,2027/01/12,2027/01/26,15,0%
1.2.4,P1 MVP構築,DB設計（ER図・テーブル定義）,,1.1.3,DB設計書,Claude＋Codex,D,2027/01/05,2027/01/15,11,0%
1.2.5,P1 MVP構築,API設計（認証・占いエンジン・課金）,,1.2.4(SS),API設計書,Claude＋Codex,D,2027/01/12,2027/01/20,9,0%
1.3,P1 MVP構築,MVP開発,,1.2.5,,,,2027/01/20,2027/02/20,32,0%
1.3.1,P1 MVP構築,認証・ユーザー基盤,,1.2.5,実装,Codex,D,2027/01/20,2027/01/27,8,0%
1.3.2,P1 MVP構築,占いエンジン実装,1.1.3 の占術要件に忠実に,"1.1.3,1.2.5",実装,Codex,D,2027/01/20,2027/02/03,15,0%
1.3.3,P1 MVP構築,AIチャット相談機能,免責と禁止表現をシステム側で強制する,"0.4.3,1.3.2(SS)",実装,Codex,D,2027/01/27,2027/02/10,15,0%
1.3.4,P1 MVP構築,課金・サブスク基盤,決済手数料と返金規定を織り込む,"0.4.6,1.1.5",実装,Codex,D,2027/02/03,2027/02/13,11,0%
1.3.5,P1 MVP構築,計測基盤の実装（イベント設計）,継続率・課金転換率を最初から測れる状態にする,1.3.1,イベント定義＋実装,Codex,D,2027/02/03,2027/02/10,8,0%
1.3.6,P1 MVP構築,コンプライアンス・ガードレール実装,AI出力に対する禁止表現の自動遮断,"0.6.6,1.3.3",実装,Codex,D,2027/02/10,2027/02/17,8,0%
1.3.7,P1 MVP構築,QA・受け入れテスト,,"1.3.4,1.3.6",テスト結果,人間＋Codex,B,2027/02/17,2027/02/24,8,0%
1.4,P1 MVP構築,初期ユーザー獲得,,1.3.7(SS),,,,2027/01/04,2027/02/28,56,0%
1.4.1,P1 MVP構築,SNS 5チャネルの定常運用開始,A10-X ほかチャネルエージェントの本稼働,0.6.9,投稿実績,A10各種＋人間,B,2027/01/04,2027/02/28,56,0%
1.4.2,P1 MVP構築,事前登録リストの構築,"リリース前に3,000件",1.4.1(SS),登録リスト,人間,C,2027/01/12,2027/02/24,44,0%
1.4.3,P1 MVP構築,クローズドβ（既存顧客50名）,0.5.3 の顧客に直接依頼,1.3.7,βフィードバック,人間,C,2027/02/24,2027/02/28,5,0%
1.5,P1 MVP構築,資金調達の実行,,0.8.2,,,,2026/12/01,2027/02/28,90,0%
1.5.1,P1 MVP構築,事業計画書・ピッチ資料,,0.8.2,ピッチ資料,Claude＋人間,B,2026/12/01,2026/12/20,20,0%
1.5.2,P1 MVP構築,投資家リスト作成・打診,,1.5.1,投資家リスト,人間,C,2026/12/20,2027/01/31,43,0%
1.5.3,P1 MVP構築,シードラウンドのクローズ,,1.5.2,着金,人間,C,2027/02/01,2027/02/28,28,0%
1.G,P1 MVP構築,★ゲート G2：MVP課金開始,リリース後1ヶ月で課金者300人。未達ならプロダクト方針を転換,"1.3.7,1.4.3",ゲート判定記録,人間,C,2027/02/28,2027/02/28,1,0%
2,P2 PMF検証,PMFの検証,継続率と課金転換率が立つかを6ヶ月で判定する。10億の成否はここで決まる,1.G,PMF判定,-,-,2027/03/01,2027/08/31,184,0%
2.1,P2 PMF検証,継続率の改善,,1.G,,,,2027/03/01,2027/07/31,153,0%
2.1.1,P2 PMF検証,コホート分析基盤の構築,週次コホートで継続率を追う,1.3.5,分析ダッシュボード,Codex,D,2027/03/01,2027/03/15,15,0%
2.1.2,P2 PMF検証,毎日開く理由の実装（通知・日次コンテンツ）,0.3.4 の継続率要因分析を反映,"0.3.4,2.1.1",実装,Codex,D,2027/03/15,2027/04/15,32,0%
2.1.3,P2 PMF検証,パーソナライズ深度の改善,汎用AI占いとの差が出る唯一の場所,2.1.2,実装,Codex,D,2027/04/15,2027/05/31,47,0%
2.1.4,P2 PMF検証,神社一次情報のプロダクト統合,moat移設仮説（0.2.5）の実装と検証,"0.2.5,0.7.3",実装＋検証結果,Codex＋人間,B,2027/05/01,2027/06/30,61,0%
2.1.5,P2 PMF検証,解約理由の収集と対策,,2.1.1,解約分析,A18＋人間,B,2027/04/01,2027/07/31,122,0%
2.2,P2 PMF検証,課金転換率の改善,,1.G,,,,2027/03/01,2027/08/15,168,0%
2.2.1,P2 PMF検証,オンボーディング改善,,2.1.1,実装,Codex,D,2027/03/15,2027/04/30,47,0%
2.2.2,P2 PMF検証,課金導線のA/Bテスト,A15 CRO Agent の領域,2.2.1,実験記録,A15＋Codex,B,2027/04/30,2027/06/30,62,0%
2.2.3,P2 PMF検証,プラン構成の見直し（ARPU向上）,980円で成立しない場合の上位プラン設計,2.2.2(SS),料金表v2,人間,C,2027/06/01,2027/07/15,45,0%
2.2.4,P2 PMF検証,LTV/CAC の実測,仮説ではなく実データで。以降の広告投下の可否を決める,2.2.2,LTV/CAC実測,A18,A,2027/07/01,2027/08/15,46,0%
2.3,P2 PMF検証,占い師サプライサイドの実験,,0.3.5,,,,2027/03/01,2027/08/31,184,0%
2.3.1,P2 PMF検証,占い師 5名の試験導入,自社以外の鑑定士を乗せられるかの検証,0.3.5,試験結果,人間,C,2027/03/01,2027/04/30,61,0%
2.3.2,P2 PMF検証,品質管理・審査基準の策定,誰を乗せるかがブランドを決める,2.3.1,審査基準,A30＋人間,B,2027/04/30,2027/05/31,32,0%
2.3.3,P2 PMF検証,マッチング機能のMVP,,2.3.2,実装,Codex,D,2027/06/01,2027/07/31,61,0%
2.3.4,P2 PMF検証,テイクレートの決定と検証,30%前提が成立するか,2.3.3,実測,人間,C,2027/08/01,2027/08/31,31,0%
2.4,P2 PMF検証,チーム組成,,1.5.3,,,,2027/03/01,2027/08/31,184,0%
2.4.1,P2 PMF検証,エンジニア採用（2名）,Codex だけでは本番運用は回らない,1.5.3,採用完了,人間,C,2027/03/01,2027/06/30,122,0%
2.4.2,P2 PMF検証,コンテンツ運用担当の採用（1名）,AIエージェントの承認者が必要,1.5.3,採用完了,人間,C,2027/04/01,2027/07/31,122,0%
2.4.3,P2 PMF検証,CS体制の構築,占いは情緒的な問い合わせが多い,2.4.2(SS),CS体制,人間,C,2027/06/01,2027/08/31,92,0%
2.G,P2 PMF検証,★ゲート G3：PMF判定,"3ヶ月継続率40%以上・課金会員5,000人・月商1,000万円。未達なら2年10億は不可能と確定し目標を再設定","2.1.5,2.2.4",ゲート判定記録,人間,C,2027/08/31,2027/08/31,1,0%
3,P3 スケール,スケール,検証済みのユニットエコノミクスに資本を投下して伸ばす,2.G,"月商4,000万円",-,-,2027/09/01,2028/02/29,182,0%
3.1,P3 スケール,獲得チャネルの拡大,,2.G,,,,2027/09/01,2028/02/29,182,0%
3.1.1,P3 スケール,有料広告の開始（LTV/CAC検証後）,2.2.4 が成立しない限り実行しない,2.2.4,広告運用,人間＋A18,B,2027/09/01,2027/10/31,61,0%
3.1.2,P3 スケール,オーガニック獲得の拡大（SEO＋SNS）,ARPU980円ではCACが合わないため、これが主要チャネル,0.6.9,流入実績,A06/A10各種,B,2027/09/01,2028/02/29,182,0%
3.1.3,P3 スケール,動画チャネルの本格化（TikTok/YouTube）,神社×開運は動画との相性が高い,3.1.2(SS),動画運用,A10-TT＋人間,B,2027/09/01,2027/12/31,122,0%
3.1.4,P3 スケール,アプリストア最適化（ASO）,,3.1.1(SS),ASO実施,Codex＋人間,B,2027/10/01,2027/11/30,61,0%
3.1.5,P3 スケール,紹介・招待プログラム,CACを下げる唯一の構造的手段,3.1.1,実装,Codex,D,2027/11/01,2027/12/31,61,0%
3.2,P3 スケール,マッチング事業の本格化,,2.3.4,,,,2027/09/01,2028/02/29,182,0%
3.2.1,P3 スケール,占い師50名への拡大,,2.3.4,稼働占い師数,人間,C,2027/09/01,2027/12/31,122,0%
3.2.2,P3 スケール,占い師向けツール整備,サプライサイドの定着率が事業の安定性を決める,3.2.1(SS),実装,Codex,D,2027/10/01,2028/01/31,123,0%
3.2.3,P3 スケール,占い師200名への拡大,,3.2.2(SS),稼働占い師数,人間,C,2028/01/01,2028/02/29,60,0%
3.3,P3 スケール,法人向け事業の立ち上げ,,2.G,,,,2027/10/01,2028/02/29,152,0%
3.3.1,P3 スケール,法人向け商品設計（ビジネス占い）,単価が桁違い。少数顧客で売上が立つ,2.G,商品設計,人間,C,2027/10/01,2027/11/30,61,0%
3.3.2,P3 スケール,パイロット顧客10社,,3.3.1,契約,人間,C,2027/12/01,2028/01/31,62,0%
3.3.3,P3 スケール,法人向け営業体制,,3.3.2,営業体制,人間,C,2028/02/01,2028/02/29,29,0%
3.4,P3 スケール,組織と資金,,2.G,,,,2027/09/01,2028/02/29,182,0%
3.4.1,P3 スケール,シリーズA調達,スケールには追加資本が要る,2.G,着金,人間,C,2027/09/01,2027/12/31,122,0%
3.4.2,P3 スケール,採用（エンジニア・マーケ・CS 計8名）,,3.4.1(SS),採用完了,人間,C,2027/11/01,2028/02/29,121,0%
3.4.3,P3 スケール,インフラのスケール対応,,3.1.1(SS),実装,Codex,D,2027/10/01,2027/12/31,92,0%
3.G,P3 スケール,★ゲート G4：スケール判定,"課金会員20,000人・月商4,000万円・LTV/CAC≧3。未達なら10億の到達時期を再設定","3.1.5,3.2.3",ゲート判定記録,人間,C,2028/02/29,2028/02/29,1,0%
4,P4 到達,年商10億円ランレートへの到達,"月商8,333万円。P3で成立した構造の量的拡大",3.G,"月商8,333万円",-,-,2028/03/01,2028/08/31,184,0%
4.1,P4 到達,収益源ごとの積み上げ,,3.G,,,,2028/03/01,2028/08/31,184,0%
4.1.1,P4 到達,"アプリ課金 月商4,000万円","課金会員41,000人 × ARPU980円",3.G,売上実績,人間,C,2028/03/01,2028/08/31,184,0%
4.1.2,P4 到達,"マッチング手数料 月商2,500万円","GMV8,300万円 × テイクレート30%",3.2.3,売上実績,人間,C,2028/03/01,2028/08/31,184,0%
4.1.3,P4 到達,"法人向け 月商1,000万円",年契約120万円 × 100社,3.3.3,売上実績,人間,C,2028/03/01,2028/08/31,184,0%
4.1.4,P4 到達,自社鑑定 月商500万円,複数鑑定士体制,3.2.3,売上実績,人間,C,2028/03/01,2028/08/31,184,0%
4.1.5,P4 到達,その他 月商333万円,広告・物販・コンテンツ販売,3.G,売上実績,人間,C,2028/03/01,2028/08/31,184,0%
4.2,P4 到達,組織と継続性,,3.G,,,,2028/03/01,2028/08/31,184,0%
4.2.1,P4 到達,占術師本人への依存度の低減,本人が倒れたら止まる構造のままではスケールしない,3.2.3,体制図,人間,C,2028/03/01,2028/06/30,122,0%
4.2.2,P4 到達,コンプライアンス監査体制,規模が大きいほど法的露出が増える,0.4.4,監査体制,A30＋人間,B,2028/03/01,2028/05/31,92,0%
4.2.3,P4 到達,次ラウンド or 黒字化の判断,,4.1.1(SS),決定記録,人間,C,2028/06/01,2028/08/31,92,0%
4.G,P4 到達,★ゲート G5：10億円ランレート到達判定,"月商8,333万円。未達幅と要因を記録し、翌年計画へ引き継ぐ","4.1.1,4.1.2,4.1.3",最終判定記録,人間,C,2028/08/31,2028/08/31,1,0%
9,継続運用,継続タスク（全期間）,フェーズをまたいで毎週・毎月回るもの,-,-,-,-,2026/09/14,2028/08/31,718,0%
9.1,継続運用,SNS 5チャネルの日次投稿,X / Instagram / Threads / Ameba / TikTok,0.6.9(SS),投稿,A10各種＋人間,B,2026/09/14,2028/08/31,718,0%
9.2,継続運用,ブログ更新（ココナラ／Ameba）,既存シートの日次タスクを継承,-,記事,A08＋人間,B,2026/09/14,2028/08/31,718,0%
9.3,継続運用,週次KPIレビュー,Tier1→Tier2→Tier3の順で読む,0.6.7(SS),週次レポート,A18,A,2026/09/14,2028/08/31,718,0%
9.4,継続運用,月次の仮説台帳更新,AGENTS.md「証拠が仮説と矛盾したら仮説を更新する」の運用,9.3(SS),仮説台帳,A01＋人間,B,2026/09/14,2028/08/31,718,0%
9.5,継続運用,神社訪問（四半期ごと）,Tier X-A コンテンツの供給。止めると moat が枯れる,0.7.3(SS),訪問記録,人間,C,2026/09/14,2028/08/31,718,0%
9.6,継続運用,年次予測の公開レビュー,rules.md §3.3 の義務。当たりと外れの両方を公開,0.7.1,レビュー記事,人間,C,2027/01/01,2028/08/31,608,0%
9.7,継続運用,コンプライアンス定期監査,公開物の抜き取り検査,0.6.6,監査記録,A30,A,2026/11/01,2028/08/31,670,0%
